Dataset,AE_1,AE_2,AE_3,AE_4,target
ambient_temperature_system_failure,-0.14503507,-2.8044474,-2.5588741,3.406236,0
art_daily_flatmiddle,3.126492,-5.305333,-1.9194895,-2.8478835,1
art_daily_jumpsdown,2.4691703,-4.844063,-1.0033172,-1.4521585,0
art_daily_jumpsup,2.663029,-3.8808603,-1.4356354,-2.241883,1
art_daily_nojump,2.9904451,-5.219987,-0.9935024,-0.7203176,0
art_increase_spike_density,9.367212,-11.080861,-2.542243,5.5149813,4
art_load_balancer_spikes,-0.9068524,-0.40538064,-0.056002855,1.0027629,1
cpu_utilization_asg_misconfiguration,5.671408,-9.775561,-2.0406997,10.333662,4
ec2_cpu_utilization_53ea38,-13.906042,-24.313381,-2.5751455,-6.5392265,2
ec2_cpu_utilization_5f5533,-10.938189,-9.988485,12.706625,0.38780567,4
ec2_cpu_utilization_24ae8d,2.276461,-2.561537,1.5288417,0.89127374,0
ec2_cpu_utilization_77c1ca,0.32516822,-2.874755,-0.66362566,-0.009072308,1
ec2_cpu_utilization_825cc2,6.0673122,-6.1179543,0.8737662,2.9244266,4
ec2_cpu_utilization_ac20cd,-0.51928693,-0.0049216505,-0.94041497,0.24473912,1
ec2_cpu_utilization_fe7f93,-0.6753219,-2.0194194,-0.42750737,0.8172651,2
ec2_disk_write_bytes_1ef3de,3.8647943,22.217037,25.00469,27.786737,1
ec2_disk_write_bytes_c0d644,1.0824227,4.294324,33.15916,25.581327,0
ec2_network_in_257a54,1.3127214,1.1035529,3.0813103,4.6356964,1
ec2_request_latency_system_failure,-3.208146,-0.64643264,1.2987206,0.32859716,0
ec2_network_in_5abac7,-0.35224542,-0.17314976,0.5289393,2.1040614,0
elb_request_count_8c0756,3.8583155,-6.033747,-0.33853492,2.3784907,0
exchange-2_cpc_results,9.361795,-9.66283,-0.7603498,0.7262837,4
exchange-2_cpm_results,10.166798,-10.350165,-1.155145,0.99132556,0
exchange-3_cpc_results,2.512282,-2.3589735,-1.930897,-2.7337806,4
exchange-3_cpm_results,9.003313,-7.0163307,-0.6956981,0.8458304,0
exchange-4_cpc_results,6.2591753,-3.5147173,0.524486,-0.6517543,4
exchange-4_cpm_results,7.340546,-4.9553795,0.36041307,-0.41915968,4
grok_asg_anomaly,-0.23559557,-0.60297596,-0.14498565,1.5865903,0
iio_us-east-1_i-a2eb1cd9_NetworkIn,2.8867645,0.36607495,0.23448364,-0.42873687,4
machine_temperature_system_failure,-1.5827622,3.5631545,-6.4299235,13.215257,1
nyc_taxi,1.2958605,-4.4616003,0.3009927,4.2511725,4
occupancy_6005,0.11511804,-1.5748469,-0.24072891,-1.1094143,0
occupancy_t4013,0.6224819,-2.7470877,-0.6744272,-1.0139962,1
rds_cpu_utilization_cc0c53,4.008322,-3.5140212,1.2524748,1.7425524,0
rds_cpu_utilization_e47b3b,9.736852,-8.203502,-2.6109803,5.816285,2
rogue_agent_key_hold,1.5877597,-1.2828442,-0.9542051,-1.5106215,4
rogue_agent_key_updown,0.49833998,0.35743532,-1.0676556,2.7656667,0
speed_6005,-1.5219607,-5.8812056,-2.1497614,-0.49789664,0
speed_7578,6.3206754,3.6939437,1.4605477,0.07348203,0
speed_t4013,3.1495492,4.8614645,-1.3567624,-0.5077467,1
TravelTime_387,0.6269768,-1.5074369,-0.5126699,0.40514594,0
TravelTime_451,1.0390164,-1.2756901,-0.9236013,-1.1785843,1
Twitter_volume_AAPL,-0.99519736,-1.5759027,-4.690033,9.471636,1
Twitter_volume_AMZN,-0.25209382,0.13373734,-3.1847718,8.520014,0
Twitter_volume_CRM,-0.74814063,-0.8182205,-3.6652682,8.406975,1
Twitter_volume_CVS,-2.5998783,-1.4300491,-3.627948,8.372387,1
Twitter_volume_FB,3.365881,2.7602136,-4.637817,13.271577,1
Twitter_volume_GOOG,-0.55525714,-3.2826693,-3.413092,9.054531,0
Twitter_volume_IBM,-1.1857595,-2.393409,-4.0013566,8.93528,1
Twitter_volume_KO,-0.28895405,-0.03297256,-4.6219583,9.465689,1
Twitter_volume_PFE,-1.308712,-1.3599893,-2.7832916,8.5768385,0
Twitter_volume_UPS,-2.887621,-0.2162094,-3.2440605,9.620045,1
